PT,TM,CPG,CPHL,CPWT,DROGDP,DROGDT,DROHLDP,DROHLDT,DROWTDP,DROWTDT,HG,HHL,HWT,ROG,ROHL,ROWT,RS,RSW,SEG,SEHL,SEWT,SIGGHL,SIGGWT,SIGHLWT,TCG,TCHL,TCWT,VISG,VISHL,VISWT
13130000.0,186.7,2853.28497,2710.37505,4699.51504,5.57356e-06,-0.20932987,3.33983e-06,-0.88037259,6.53414e-07,-1.1123637,298189.612,95657.0026,-1738722.4,74.0283479,693.455796,898.646451,0.001172939,0.011824909,-843.6553,439.007944,-4761.2858,0.000958586,0.044928549,0.043969963,0.066670452,0.131673047,0.651137409,1.8727e-05,0.000703579,0.000159497
13540000.0,186.7,2861.70474,2710.46002,4696.94501,5.55265e-06,-0.21637233,3.31762e-06,-0.87725726,6.51822e-07,-1.109666,296633.203,96117.4356,-1738525.5,76.287684,692.694514,898.914024,0.0,0.011782587,-860.01618,436.682841,-4761.8496,0.000898398,0.044928549,0.044030152,0.067097362,0.131800922,0.651621667,1.88396e-05,0.000699172,0.000159603
13950000.0,186.7,2869.40655,2709.06675,4694.38728,5.53251e-06,-0.22345912,3.26016e-06,-0.86855835,6.50238e-07,-1.1069798,295011.861,96366.4325,-1738328.0,78.5601777,694.042895,899.180946,0.0,0.011782587,-875.05847,435.938429,-4762.4118,0.000898398,0.044928549,0.044030152,0.067503703,0.132280895,0.65210527,1.8954e-05,0.000705383,0.000159709
14360000.0,186.7,2876.94702,2707.71529,4691.84175,5.51133e-06,-0.23050218,3.20452e-06,-0.86009605,6.48662e-07,-1.1043047,293418.185,96618.9595,-1738129.8,80.824199,695.368095,899.447221,0.0,0.011782587,-889.71275,435.204169,-4762.9723,0.000898398,0.044928549,0.044030152,0.067912654,0.132754939,0.65258822,1.90697e-05,0.000711584,0.000159814
14770000.0,186.7,2884.32507,2706.40367,4689.30834,5.48917e-06,-0.23749628,3.15062e-06,-0.85185987,6.47094e-07,-1.1016409,291852.077,96874.895,-1737931.0,83.0793347,696.67084,899.71285,0.0,0.011782587,-903.99854,434.479743,-4763.5312,0.000898398,0.044928549,0.044030152,0.068323856,0.13322321,0.653070521,1.91868e-05,0.000717777,0.000159919
15180000.0,186.7,2891.53995,2705.13008,4686.78694,5.46606e-06,-0.24443644,3.09837e-06,-0.84383998,6.45533e-07,-1.0989881,290313.423,97134.1238,-1737731.6,85.3251886,697.951827,899.977839,0.0,0.011782587,-917.93379,433.764852,-4764.0883,0.000898398,0.044928549,0.044030152,0.068736967,0.133685855,0.653552174,1.93053e-05,0.000723961,0.000160023
15590000.0,186.7,2898.59116,2703.89279,4684.27747,5.44205e-06,-0.25131793,3.04769e-06,-0.83602715,6.4398e-07,-1.0963464,288802.097,97396.5359,-1737531.5,87.5613824,699.211715,900.242189,0.0,0.011782587,-931.53505,433.05921,-4764.6438,0.000898398,0.044928549,0.044030152,0.069151659,0.13414302,0.654033183,1.9425e-05,0.000730136,0.000160127
16000000.0,186.7,2905.47851,2702.69019,4681.77983,5.41719e-06,-0.25813628,2.99852e-06,-0.82841266,6.42435e-07,-1.0937156,287317.952,97662.0271,-1737330.8,89.7875553,700.451138,900.505903,0.0,0.011782587,-944.81763,432.362541,-4765.1976,0.000898398,0.044928549,0.044030152,0.069567618,0.134594839,0.65451355,1.9546e-05,0.000736303,0.00016023
16410000.0,186.7,2912.20207,2701.52078,4679.29394,5.3915e-06,-0.26488727,2.95079e-06,-0.82098834,6.40897e-07,-1.0910956,285860.832,97930.4979,-1737129.5,92.0033641,701.670699,900.768986,0.0,0.011782587,-957.79573,431.674586,-4765.7497,0.000898398,0.044928549,0.044030152,0.069984546,0.135041445,0.654993279,1.96683e-05,0.000742461,0.000160333
16820000.0,186.7,2918.76215,2700.38313,4676.8197,5.36505e-06,-0.27156695,2.90443e-06,-0.81374645,6.39367e-07,-1.0884865,284430.564,98201.8533,-1736927.6,94.2084833,702.870973,901.03144,0.0,0.011782587,-970.48251,430.995096,-4766.3003,0.000898398,0.044928549,0.044030152,0.07040216,0.135482964,0.655472371,1.97917e-05,0.000748611,0.000160435
