,Volumetric flow rate (m3/h)
2021-05-10 01:28:23.473,43374.06640625
2021-05-10 01:28:33.437,43448.60546875
2021-05-10 01:28:43.400,43225.109375
2021-05-10 01:28:53.400,43817.15234375
2021-05-10 01:29:03.331,43409.63671875
2021-05-10 01:29:13.327,43522.8359375
2021-05-10 01:29:24.251,42934.5546875
2021-05-10 01:29:34.253,43317.78515625
2021-05-10 01:29:44.250,42537.00390625
2021-05-10 01:29:54.110,43131.375
2021-05-10 01:30:04.074,43213.76171875
2021-05-10 01:30:14.523,43079.30859375
2021-05-10 01:30:25.348,43181.296875
2021-05-10 01:30:34.321,42677.55859375
2021-05-10 01:30:45.248,42444.640625
2021-05-10 01:30:55.244,42597.171875
2021-05-10 01:31:05.337,42576.44140625
2021-05-10 01:31:16.244,42751.421875
2021-05-10 01:31:26.239,42797.0703125
2021-05-10 01:31:36.243,43867.06640625
2021-05-10 01:31:46.244,43257.06640625
2021-05-10 01:31:55.240,43212.83984375
2021-05-10 01:32:06.083,43346.2890625
2021-05-10 01:32:16.044,42582.37890625
2021-05-10 01:32:27.505,42981.54296875
2021-05-10 01:32:37.469,43785.5546875
2021-05-10 01:32:47.430,43043.1484375
2021-05-10 01:32:57.396,43285.62109375
2021-05-10 01:33:07.405,43166.51953125
2021-05-10 01:33:18.332,43281.890625
2021-05-10 01:33:28.264,42648.16796875
2021-05-10 01:33:38.252,42872.18359375
2021-05-10 01:33:48.252,42886.03125
2021-05-10 01:33:58.252,43294.1328125
2021-05-10 01:34:08.119,43430.8359375
2021-05-10 01:34:19.067,43687.76953125
2021-05-10 01:34:29.539,43019.22265625
2021-05-10 01:34:39.486,42541.875
2021-05-10 01:34:49.447,43094.015625
2021-05-10 01:34:59.418,43231.39453125
2021-05-10 01:35:09.394,42650.8984375
2021-05-10 01:35:20.318,42911.3984375
2021-05-10 01:35:30.316,43458.9609375
2021-05-10 01:35:40.291,42916.99609375
2021-05-10 01:35:50.247,44039.93359375
2021-05-10 01:36:00.243,42937.046875
2021-05-10 01:36:11.137,43177.609375
2021-05-10 01:36:21.094,43141.69140625
2021-05-10 01:36:31.559,43708.48046875
2021-05-10 01:36:41.517,42935.71484375
2021-05-10 01:36:51.470,42998.296875
2021-05-10 01:37:01.441,43518.58203125
2021-05-10 01:37:12.416,42605.9609375
2021-05-10 01:37:22.415,43407.3203125
2021-05-10 01:37:32.339,43311.1796875
2021-05-10 01:37:42.445,43263.06640625
2021-05-10 01:37:52.258,43011.4375
2021-05-10 01:38:02.330,43603.87109375
2021-05-10 01:38:13.251,43625.0546875
2021-05-10 01:38:23.261,43340.82421875
2021-05-10 01:38:33.251,43932.71484375
2021-05-10 01:38:42.636,42713.7421875
2021-05-10 01:38:52.588,43553.93359375
2021-05-10 01:39:03.027,43385.80859375
2021-05-10 01:39:13.000,43247.328125
2021-05-10 01:39:23.947,43414.515625
2021-05-10 01:39:33.917,43544.75
2021-05-10 01:39:43.865,44123.96484375
2021-05-10 01:39:53.835,43927.06640625
2021-05-10 01:40:03.792,43410.22265625
2021-05-10 01:40:14.763,43535.96875
2021-05-10 01:40:24.722,44228.6875
2021-05-10 01:40:34.695,44206.09765625
2021-05-10 01:40:44.649,43759.7265625
2021-05-10 01:40:54.619,44064.59375
2021-05-10 01:41:05.058,43417.00390625
2021-05-10 01:41:16.018,44494.31640625
2021-05-10 01:41:25.976,43442.78125
2021-05-10 01:41:35.945,43916.30078125
2021-05-10 01:41:45.894,43640.375
2021-05-10 01:41:55.868,43468.5859375
2021-05-10 01:42:06.813,43842.88671875
2021-05-10 01:42:16.779,43381.2734375
2021-05-10 01:42:26.733,43737.9296875
2021-05-10 01:42:36.711,44426.30078125
2021-05-10 01:42:46.651,43290.2265625
2021-05-10 01:42:56.621,43384.90625
2021-05-10 01:43:07.068,43781.4140625
2021-05-10 01:43:18.022,43788.20703125
2021-05-10 01:43:27.986,43729.9609375
2021-05-10 01:43:37.947,43668.828125
2021-05-10 01:43:47.647,43995.47265625
2021-05-10 01:43:57.775,44036.2578125
2021-05-10 01:44:08.727,43274.87109375
2021-05-10 01:44:18.672,42412.61328125
2021-05-10 01:44:28.645,43445.796875
2021-05-10 01:44:38.810,43647.80859375
2021-05-10 01:44:48.766,43786.09765625
2021-05-10 01:44:58.725,43913.8203125
2021-05-10 01:45:09.689,44008.0390625
2021-05-10 01:45:19.642,43363.8828125
2021-05-10 01:45:29.595,43646.875
2021-05-10 01:45:40.062,43460.8125
2021-05-10 01:45:50.018,44266.0859375
2021-05-10 01:45:59.976,43594.92578125
2021-05-10 01:46:09.935,44418.390625
2021-05-10 01:46:20.893,44057.99609375
2021-05-10 01:46:30.863,43519.78125
2021-05-10 01:46:40.812,44218.09765625
2021-05-10 01:46:50.777,43755.359375
2021-05-10 01:47:00.741,43585.15234375
2021-05-10 01:47:11.711,43949.18359375
2021-05-10 01:47:21.654,44069.671875
2021-05-10 01:47:31.608,44193.84765625
2021-05-10 01:47:42.067,44138.31640625
2021-05-10 01:47:52.051,44618.41796875
2021-05-10 01:48:02.016,43510.96484375
2021-05-10 01:48:12.968,43758.015625
2021-05-10 01:48:22.927,43520.03515625
2021-05-10 01:48:32.885,44298.984375
2021-05-10 01:48:42.839,43620.83203125
2021-05-10 01:48:52.808,42848.0234375
2021-05-10 01:49:03.753,43864.171875
2021-05-10 01:49:13.722,43337.65625
2021-05-10 01:49:23.689,44277.8046875
2021-05-10 01:49:33.652,43517.25390625
2021-05-10 01:49:44.095,43713.3359375
2021-05-10 01:49:54.063,43286.28125
2021-05-10 01:50:05.016,43591.97265625
2021-05-10 01:50:14.976,43879.98046875
2021-05-10 01:50:24.945,43517.81640625
2021-05-10 01:50:34.900,44013.70703125
2021-05-10 01:50:44.864,42908.90625
2021-05-10 01:50:54.821,43258.2265625
2021-05-10 01:51:05.767,42972.88671875
2021-05-10 01:51:15.737,43373.94921875
2021-05-10 01:51:25.710,42552.37109375
2021-05-10 01:51:35.670,42937.671875
2021-05-10 01:51:46.131,43971.28125
2021-05-10 01:51:56.100,43204.3359375
2021-05-10 01:52:07.041,43511.91015625
2021-05-10 01:52:17.009,43745.58203125
2021-05-10 01:52:26.957,43225.6796875
2021-05-10 01:52:36.917,43719.44140625
2021-05-10 01:52:47.411,42910.44140625
2021-05-10 01:52:57.409,43504.02734375
2021-05-10 01:53:08.423,44028.85546875
2021-05-10 01:53:18.419,43915.73046875
2021-05-10 01:53:28.421,43189.6484375
2021-05-10 01:53:38.422,44098.90234375
2021-05-10 01:53:48.628,43966.765625
2021-05-10 01:53:58.591,43810.640625
2021-05-10 01:54:08.553,42864.7265625
2021-05-10 01:54:19.507,44058.83203125
2021-05-10 01:54:29.481,43920.60546875
2021-05-10 01:54:39.445,42525.18359375
2021-05-10 01:54:49.402,43037.49609375
2021-05-10 01:54:59.400,43388.8515625
2021-05-10 01:55:10.348,42849.109375
2021-05-10 01:55:20.341,43705.96484375
2021-05-10 01:55:30.347,43214.22265625
2021-05-10 01:55:40.354,44208.1015625
2021-05-10 01:55:50.276,43594.08984375
2021-05-10 01:56:01.616,43100.2265625
2021-05-10 01:56:11.582,43234.27734375
2021-05-10 01:56:21.542,43459.30859375
2021-05-10 01:56:31.495,43903.171875
2021-05-10 01:56:41.470,42727.84375
2021-05-10 01:56:51.436,43066.14453125
2021-05-10 01:57:02.417,43423.015625
2021-05-10 01:57:12.428,43755.8125
2021-05-10 01:57:22.335,43306.5546875
